代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
000153,上民红利,2705.55,-1.56%,-42.89,9.58亿,143.4亿,2.10%,2754.35,2696.61,2754.35,2748.44,0.79,上证系列指数
000148,消费领先,8425.27,-1.57%,-134.1,45.94亿,749.8亿,2.23%,8592.08,8401.18,8576.03,8559.37,1.01,上证系列指数
000126,消费50,7697.35,-1.57%,-123.03,15.29亿,205.3亿,2.32%,7861.08,7679.5,7835.92,7820.38,1.09,上证系列指数
000981,300分层,4873.37,-1.57%,-77.71,189.4亿,2444亿,2.09%,4964.9,4861.61,4963.06,4951.09,1.1,上证系列指数
000146,优势制造,6312.57,-1.59%,-102.23,17.19亿,185.2亿,2.41%,6446.9,6292.06,6440.18,6414.8,0.97,上证系列指数
000814,细分医药,9641.86,-1.61%,-157.5,8.2亿,178.6亿,1.92%,9805.52,9617.78,9801.72,9799.36,1.06,上证系列指数
000801,资源80,3004.15,-1.61%,-49.03,52.55亿,477.6亿,2.07%,3059.08,2995.99,3058.12,3053.17,1.07,上证系列指数
000066,上证商品,1773.46,-1.62%,-29.18,31.8亿,284.4亿,1.99%,1804.55,1768.63,1803.83,1802.63,1.31,上证系列指数
000095,上证中游,2877.51,-1.62%,-47.24,68.07亿,755.4亿,2.47%,2942.56,2870.2,2939.78,2924.75,0.98,上证系列指数
000803,300波动,7334.89,-1.62%,-121.02,77.21亿,630.5亿,2.43%,7497.44,7316.04,7493.26,7455.91,1.02,上证系列指数
000988,全指工业,3274.89,-1.63%,-54.23,159.8亿,1365亿,2.40%,3345.14,3265.15,3342.31,3329.12,1.03,上证系列指数
000026,180资源,2384.18,-1.63%,-39.43,14.35亿,143.7亿,1.73%,2419.18,2377.27,2419.18,2423.61,1.29,上证系列指数
000046,上证中小,4017.05,-1.64%,-66.88,163.9亿,1629亿,2.31%,4101.87,4007.43,4099.36,4083.93,1.03,上证系列指数
000068,上证资源,1894.41,-1.65%,-31.84,31.47亿,256.5亿,1.90%,1925.33,1888.75,1924.88,1926.25,1.36,上证系列指数
000067,上证新兴,7251.36,-1.65%,-121.31,33.51亿,488.5亿,2.33%,7402.86,7231.42,7398.04,7372.67,1.29,上证系列指数
000830,500高贝,4298.7,-1.67%,-73.13,46.58亿,545.5亿,2.21%,4381.94,4285.36,4378.38,4371.83,1.06,上证系列指数
000097,高端装备,7519.8,-1.67%,-127.58,18.08亿,189.7亿,2.18%,7664.63,7497.9,7654.71,7647.38,0.94,上证系列指数
000069,消费80,4807.02,-1.67%,-81.89,13.54亿,296.5亿,2.29%,4910.27,4798.35,4897.2,4888.91,0.99,上证系列指数
000966,基本400,6722.76,-1.68%,-114.95,148.8亿,1510亿,2.31%,6860.68,6702.54,6855.63,6837.71,1.06,上证系列指数
000964,中证新兴,7636.28,-1.68%,-130.68,65.38亿,911.8亿,2.26%,7790.53,7614.96,7789.86,7766.96,1.2,上证系列指数
000945,内地运输,1706.46,-1.68%,-29.18,11.75亿,87.32亿,2.25%,1739.45,1700.47,1738.35,1735.64,1.0,上证系列指数
000093,180分层,10303.15,-1.69%,-177.5,115.2亿,1458亿,2.23%,10511.81,10278.19,10506.68,10480.66,1.04,上证系列指数
000001,上证指数,3215.04,-1.70%,-55.76,353.2亿,3592亿,2.22%,3279.49,3206.88,3278.49,3270.8,1.04,上证系列指数
