代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
399626,中创成长,1392.02,-1.09%,-15.29,56.64亿,656.6亿,1.96%,1414.13,1386.52,1409.13,1407.31,1.02,指数成份
399676,深医药EW,2736.07,-1.10%,-30.5,20.32亿,272亿,1.94%,2780.54,2726.79,2777.71,2766.57,0.96,指数成份
399698,优势成长,17884.37,-1.10%,-198.71,4.8亿,34.02亿,1.74%,18146.16,17831.41,18094.06,18083.08,1.04,指数成份
399665,中创低波,1579.19,-1.11%,-17.78,59.01亿,527.8亿,1.70%,1601.46,1574.26,1600.62,1596.97,1.05,指数成份
399428,国证定增,2549.29,-1.12%,-28.93,32.21亿,383.2亿,1.89%,2586.72,2538.1,2584.97,2578.22,1.17,指数成份
399652,中创高新,2314.64,-1.13%,-26.34,8.19亿,139.7亿,2.17%,2355.19,2304.48,2347.0,2340.98,0.94,指数成份
399697,中关村60,3786.48,-1.13%,-43.36,17.43亿,163.8亿,1.85%,3847.45,3776.53,3843.09,3829.84,1.12,指数成份
000005,商业指数,3047.36,-1.13%,-34.87,18.88亿,215.2亿,2.34%,3108.53,3036.38,3103.25,3082.23,1.01,指数成份
399102,创业板综,2073.3,-1.14%,-23.81,102.7亿,1166亿,1.84%,2104.59,2065.9,2102.48,2097.11,1.05,指数成份
000132,上证100,5733.37,-1.14%,-65.9,18.88亿,198.4亿,1.79%,5822.44,5718.77,5818.21,5799.27,0.94,指数成份
000009,上证380,5228.52,-1.16%,-61.4,80.74亿,818.4亿,1.78%,5307.2,5213.25,5303.77,5289.93,1.03,指数成份
000117,380成长,5376.01,-1.16%,-63.01,24.89亿,264.2亿,1.77%,5458.78,5362.57,5454.67,5439.02,1.08,指数成份
000091,沪财中小,8960.45,-1.16%,-105.48,49.33亿,546.7亿,1.69%,9085.12,8932.23,9079.35,9065.93,1.12,指数成份
000858,500信息,6784.58,-1.17%,-79.97,20.68亿,263.5亿,2.04%,6902.39,6762.5,6869.92,6864.56,0.95,指数成份
000106,380工业,5008.84,-1.17%,-59.42,16.91亿,155.2亿,2.05%,5098.41,4994.35,5093.58,5068.26,0.89,指数成份
000003,B股指数,316.2,-1.17%,-3.76,3467万,2.37亿,1.29%,320.23,316.11,319.92,319.96,1.26,指数成份
399018,创业创新,3422.5,-1.18%,-40.75,17.7亿,250.9亿,1.97%,3478.68,3410.39,3474.43,3463.25,0.94,指数成份
399689,深成公用,1072.15,-1.18%,-12.82,1.72亿,12.07亿,2.14%,1092.14,1068.95,1089.67,1084.97,0.96,指数成份
000011,基金指数,6384.19,-1.19%,-76.69,63.84亿,346亿,1.58%,6474.58,6372.4,6474.19,6460.88,0.95,指数成份
000162,沪互联+,2770.53,-1.19%,-33.23,19.43亿,368.1亿,1.87%,2814.9,2762.33,2812.14,2803.76,1.01,指数成份
000998,中证TMT,1922.97,-1.21%,-23.54,61.8亿,788.2亿,2.07%,1957.35,1917.04,1952.27,1946.52,1.09,指数成份
399003,成份B指,5426.78,-1.22%,-66.77,2125万,1.01亿,1.90%,5515.06,5410.68,5501.04,5493.55,0.62,指数成份
000004,工业指数,2541.06,-1.23%,-31.64,204.2亿,2191亿,1.73%,2578.74,2534.11,2578.14,2572.7,1.03,指数成份
000133,上证150,4549.34,-1.23%,-56.57,16.18亿,164.7亿,1.83%,4621.81,4537.32,4617.23,4605.91,0.95,指数成份
000142,380稳定,6878.83,-1.23%,-85.76,34.64亿,296.6亿,1.79%,6987.98,6863.24,6985.51,6964.59,1.02,指数成份
399625,中创500,1630.83,-1.25%,-20.61,143.9亿,1599亿,1.79%,1655.11,1625.52,1654.37,1651.44,1.04,指数成份
000856,500工业,4780.16,-1.25%,-60.31,33.8亿,280.5亿,2.09%,4865.69,4764.29,4861.21,4840.47,1.03,指数成份
000131,上证高新,1901.6,-1.26%,-24.3,13.43亿,194.8亿,2.18%,1932.91,1891.0,1930.77,1925.9,1.43,指数成份
000847,腾讯济安,2339.39,-1.26%,-29.78,35.66亿,494.5亿,1.87%,2377.83,2333.5,2375.98,2369.17,1.11,指数成份
000094,上证上游,2128.44,-1.27%,-27.44,35.33亿,274.4亿,1.62%,2157.26,2122.25,2156.54,2155.88,1.32,指数成份
000979,大宗商品,4291.7,-1.27%,-55.04,60.68亿,501.9亿,1.75%,4354.62,4278.43,4342.75,4346.74,1.11,指数成份
399297,新浪100,3159.59,-1.28%,-40.84,17.21亿,132亿,1.98%,3211.97,3148.48,3207.18,3200.43,0.98,指数成份
399623,中小基础,7202.84,-1.29%,-94.43,135.1亿,1358亿,1.78%,7310.17,7180.42,7307.58,7297.27,1.06,指数成份
000007,公用指数,5738.71,-1.29%,-74.96,33.9亿,255.4亿,1.90%,5835.5,5724.95,5832.69,5813.68,1.09,指数成份
399101,中小板综,10133.38,-1.29%,-132.04,187.4亿,1862亿,1.77%,10283.52,10101.89,10277.94,10265.42,1.04,指数成份
399622,深证公用,1865.83,-1.29%,-24.44,3.95亿,25.41亿,2.02%,1897.22,1859.12,1897.22,1890.27,0.92,指数成份
399242,商务指数,1240.08,-1.29%,-16.16,9.07亿,66.95亿,2.37%,1266.84,1237.1,1260.29,1256.24,1.08,指数成份
399636,深证装备,3449.59,-1.30%,-45.31,31.26亿,379.2亿,2.53%,3524.17,3435.83,3508.44,3494.9,1.07,指数成份
000991,全指医药,9808.7,-1.33%,-131.78,34.94亿,485.9亿,1.77%,9960.64,9784.33,9952.03,9940.48,0.99,指数成份
000802,500沪市,5939.89,-1.33%,-79.87,75.53亿,649亿,1.92%,6034.88,5919.43,6030.06,6019.76,1.08,指数成份
000147,优势消费,6877.27,-1.34%,-93.63,9.36亿,211.3亿,2.16%,7013.16,6862.48,6987.37,6970.9,1.01,指数成份
399604,中小价值,1485.82,-1.34%,-20.14,29.29亿,318.7亿,2.20%,1513.56,1480.47,1511.97,1505.96,1.03,指数成份
000120,380R价值,6488.66,-1.34%,-87.88,66.02亿,647亿,1.88%,6593.73,6469.8,6589.59,6576.54,1.0,指数成份
000913,300医药,10217.35,-1.35%,-139.64,4.9亿,134.3亿,1.55%,10354.25,10193.63,10348.63,10356.99,1.1,指数成份
399913,300医药,10217.35,-1.35%,-139.64,4.9亿,134.3亿,1.55%,10354.25,10193.63,10348.63,10356.99,1.1,指数成份
000977,内地低碳,1172.95,-1.35%,-16.01,16.78亿,191.4亿,1.87%,1192.9,1170.63,1192.41,1188.95,0.87,指数成份
000170,50AH优选,5546.81,-1.36%,-76.73,24.1亿,420.5亿,1.82%,5638.56,5536.39,5627.89,5623.53,0.74,指数成份
399691,创业专利,2598.17,-1.36%,-35.8,12.54亿,94.71亿,2.27%,2648.78,2588.98,2644.31,2633.97,1.0,指数成份
399678,深次新股,856.38,-1.36%,-11.85,4.19亿,115.2亿,1.65%,869.31,854.94,868.67,868.23,0.83,指数成份
000105,380材料,4341.64,-1.37%,-60.33,15.68亿,148.5亿,1.79%,4408.44,4329.44,4406.31,4401.97,0.95,指数成份
000943,内地基建,1959.78,-1.37%,-27.28,30.83亿,227.6亿,2.08%,1997.83,1956.48,1995.88,1987.06,1.21,指数成份
000025,180基建,1893.39,-1.37%,-26.39,21.03亿,161.5亿,2.17%,1932.36,1890.75,1930.0,1919.78,1.21,指数成份
000103,沪消费品,8143.65,-1.38%,-114.11,7.82亿,190.6亿,2.02%,8291.74,8125.27,8269.32,8257.77,1.04,指数成份
000851,百发100,12827.22,-1.38%,-179.6,21.75亿,563.1亿,2.02%,13051.27,12789.15,13045.76,13006.82,1.11,指数成份
399108,深证B指,1047.86,-1.38%,-14.67,2125万,1.01亿,1.73%,1064.56,1046.17,1063.73,1062.54,0.62,指数成份
000958,创业成长,996.17,-1.38%,-13.92,14.1亿,213.3亿,1.89%,1012.49,993.4,1012.23,1010.09,0.95,指数成份
399959,军工指数,1163.55,-1.38%,-16.33,9.32亿,117.4亿,2.12%,1185.55,1160.52,1184.18,1179.88,0.9,指数成份
399958,创业成长,996.17,-1.38%,-13.92,14.1亿,213.3亿,1.89%,1012.49,993.4,1012.23,1010.09,0.95,指数成份
000938,中证民企,1976.5,-1.38%,-27.76,442.5亿,4360亿,1.92%,2008.77,1970.38,2008.35,2004.26,1.08,指数成份
399663,中小低波,1431.91,-1.38%,-19.97,30.03亿,269.5亿,1.85%,1455.45,1428.64,1455.26,1451.87,1.03,指数成份
399813,中证国安,5419.32,-1.39%,-76.58,37.5亿,650.8亿,2.17%,5517.11,5398.04,5493.02,5495.9,0.97,指数成份
000808,医药生物,9760.94,-1.39%,-137.87,14.78亿,268.2亿,1.71%,9906.29,9736.75,9897.65,9898.81,0.98,指数成份
000121,医药主题,9785.51,-1.40%,-138.95,7.59亿,134.5亿,1.97%,9961.13,9765.58,9951.09,9924.46,1.04,指数成份
000950,300基建,2060.07,-1.40%,-29.17,24.96亿,182.5亿,2.11%,2101.26,2057.16,2098.66,2089.24,1.24,指数成份
000941,新能源,1508.7,-1.40%,-21.43,19.22亿,199.3亿,2.19%,1537.93,1504.46,1537.28,1530.13,0.98,指数成份
399602,中小成长,1110.17,-1.40%,-15.73,40.39亿,425.3亿,1.88%,1127.65,1106.51,1125.67,1125.9,1.02,指数成份
399234,水电指数,843.22,-1.40%,-11.99,9.99亿,70.58亿,2.10%,858.73,840.76,858.73,855.22,0.91,指数成份
399339,深证科技,5262.82,-1.40%,-74.6,42.69亿,644.9亿,1.91%,5349.5,5247.38,5344.75,5337.42,1.1,指数成份
000993,全指信息,5445.76,-1.41%,-77.82,90.7亿,1105亿,2.00%,5539.71,5429.13,5531.62,5523.57,1.05,指数成份
399808,中证新能,1608.16,-1.41%,-23.04,26.67亿,266.9亿,2.18%,1639.55,1603.92,1638.05,1631.2,0.97,指数成份
399008,中小300,1284.6,-1.41%,-18.43,96.96亿,1046亿,1.83%,1304.76,1280.91,1304.32,1303.03,1.04,指数成份
399664,中小高贝,1021.35,-1.42%,-14.69,29.52亿,358.5亿,2.01%,1039.39,1018.56,1038.89,1036.04,0.95,指数成份
399620,深证信息,3485.0,-1.43%,-50.7,49.65亿,571.6亿,1.98%,3545.89,3475.89,3541.94,3535.7,1.04,指数成份
399634,中小板EW,3416.96,-1.44%,-49.78,32.97亿,478.8亿,2.02%,3479.07,3409.04,3477.22,3466.74,1.02,指数成份
000092,资源50,2563.11,-1.45%,-37.78,33.86亿,336.8亿,1.95%,2607.82,2557.08,2606.94,2600.89,1.24,指数成份
399687,深成信息,2296.98,-1.45%,-33.86,48.61亿,562.8亿,2.02%,2337.79,2290.73,2334.99,2330.84,1.05,指数成份
000806,消费服务,8265.61,-1.45%,-121.79,49.75亿,839.6亿,2.21%,8430.97,8245.48,8398.28,8387.4,0.99,指数成份
399017,SME创新,2526.36,-1.45%,-37.26,20.52亿,306亿,1.99%,2570.89,2519.92,2570.86,2563.62,0.96,指数成份
000978,医药100,12796.66,-1.46%,-190.15,15.04亿,263.2亿,1.90%,13008.92,12761.98,12994.98,12986.81,0.95,指数成份
399666,中创高贝,1357.07,-1.46%,-20.1,50.14亿,646.5亿,2.04%,1380.61,1352.58,1380.21,1377.17,0.96,指数成份
000096,上证下游,4305.38,-1.47%,-64.04,54.64亿,650.4亿,2.18%,4389.16,4293.8,4380.4,4369.42,1.1,指数成份
000891,新兴综指,1226.24,-1.48%,-18.4,305.2亿,3328亿,1.98%,1247.18,1222.59,1247.04,1244.64,1.07,指数成份
399016,深证创新,2964.44,-1.48%,-44.53,29.61亿,418.2亿,1.97%,3014.41,2955.11,3012.44,3008.97,0.92,指数成份
000109,380医药,10314.16,-1.49%,-155.92,5.04亿,69.33亿,2.11%,10514.38,10293.32,10498.4,10470.07,0.96,指数成份
399645,100低波,8398.29,-1.50%,-127.98,39.39亿,530.8亿,2.20%,8548.23,8360.86,8548.23,8526.26,1.21,指数成份
399905,中证500,5723.04,-1.50%,-87.14,158.2亿,1434亿,2.06%,5824.52,5704.98,5821.02,5810.18,1.01,指数成份
